num_partitions mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 20417.0 13085.0 9277.0 76.38972973823547
8 41807.0 27034.0 21058.0 290.63657808303833
16 81351.0 52473.0 43031.0 1019.0357186794281
32 153653.0 99914.0 99914.0 None
64 279362.0 179892.0 179892.0 None
