num_partitions mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 16273.0 11420.0 7529.0 56.11299991607666
8 27269.0 19868.0 13985.0 167.79936814308167
16 40291.0 30500.0 22059.0 520.0317549705505
32 56845.0 44428.0 44428.0 None
64 78151.0 62518.0 62518.0 None
