num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 4110.0 2873.0 2009.0 12.58074688911438
8 2 6742.0 4952.0 3864.0 19.745080947875977
16 2 9641.0 7361.0 6031.0 36.22826099395752
32 2 13768.0 10736.0 10039.0 42.769163846969604
64 2 18191.0 14366.0 14509.0 59.89143681526184
8 4 6862.0 5006.0 3646.0 17.098002195358276
16 4 9783.0 7445.0 5547.0 23.099756956100464
32 4 13700.0 10613.0 9185.0 34.161081075668335
64 4 18104.0 14354.0 12445.0 37.385993003845215
16 8 9813.0 7407.0 5824.0 28.776417016983032
32 8 13930.0 10708.0 8791.0 32.31210684776306
64 8 18179.0 14443.0 12161.0 54.698606967926025
