num_partitions mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 4092.0 2863.0 1839.0 14.308506965637207
8 6926.0 5011.0 3366.0 37.16909384727478
16 9649.0 7253.0 5068.0 118.30611395835876
32 13632.0 10698.0 9041.0 148.56019568443298
64 18002.0 14365.0 14365.0 None
