num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 81976.0 52222.0 36278.0 642.4647619724274
8 2 169264.0 108908.0 76610.0 1608.0321991443634
16 2 338900.0 218516.0 154616.0 2529.1783390045166
32 2 656802.0 422867.0 309399.0 3703.0943439006805
64 2 1239175.0 798788.0 610390.0 5036.859898090363
8 4 170433.0 109300.0 86268.0 1762.491189956665
16 4 340639.0 217642.0 166573.0 1998.205142736435
32 4 659085.0 424128.0 344897.0 3767.300770998001
64 4 1237900.0 799074.0 656937.0 4000.4297590255737
16 8 339447.0 218000.0 188008.0 6423.667198896408
32 8 656269.0 422613.0 341637.0 3728.3316390514374
64 8 1242956.0 799696.0 690908.0 7655.3265771865845
